C:\Users\Test\AppData\Local\Programs\Python\Python39\python.exe "C:/Users/Test/Documents/School/2021-H/IDATT2502/Course Work/Project/src/kautenja/jordi/dqn_train.py"
Episode 1  : 3411  / 3411      , ended with 0.0  , mean reward 0.0     , (epsilon 0.9501215228858151)
Best mean reward updated to 0.0
Episode 2  : 4814  / 8225      , ended with 0.0  , mean reward 0.0     , (epsilon 0.8839313079332257)
Episode 3  : 4370  / 12595     , ended with 0.0  , mean reward 0.0     , (epsilon 0.8278474199904636)
Episode 4  : 3277  / 15872     , ended with 0.0  , mean reward 0.0     , (epsilon 0.7881382300858681)
Episode 5  : 1605  / 17477     , ended with 0.0  , mean reward 0.0     , (epsilon 0.769390245979481 )
Episode 6  : 1680  / 19157     , ended with 0.0  , mean reward 0.0     , (epsilon 0.7502437275444808)
Episode 7  : 4803  / 23960     , ended with 0.0  , mean reward 0.0     , (epsilon 0.6980931757422418)
Episode 8  : 5204  / 29164     , ended with 0.0  , mean reward 0.0     , (epsilon 0.6456722344427404)
Episode 9  : 3538  / 32702     , ended with 0.0  , mean reward 0.0     , (epsilon 0.6122995355625817)
Episode 10 : 5724  / 38426     , ended with 0.0  , mean reward 0.0     , (epsilon 0.5619208232177323)
Episode 11 : 3214  / 41640     , ended with 0.0  , mean reward 0.0     , (epsilon 0.5354730674627628)
Episode 12 : 1975  / 43615     , ended with 0.0  , mean reward 0.0     , (epsilon 0.5198422354859306)
Episode 13 : 2975  / 46590     , ended with 0.0  , mean reward 0.0     , (epsilon 0.49715409958005313)
Episode 14 : 2817  / 49407     , ended with 0.0  , mean reward 0.0     , (epsilon 0.47658434679476347)
Episode 15 : 2903  / 52310     , ended with 0.0  , mean reward 0.0     , (epsilon 0.4562766864561423)
Episode 16 : 2834  / 55144     , ended with 0.0  , mean reward 0.0     , (epsilon 0.4372867136293247)
Episode 17 : 5387  / 60531     , ended with 0.0  , mean reward 0.0     , (epsilon 0.4033414481809981)
Episode 18 : 3992  / 64523     , ended with 0.0  , mean reward 0.0     , (epsilon 0.3798980852629642)
Episode 19 : 6368  / 70891     , ended with 0.0  , mean reward 0.0     , (epsilon 0.3452891920270214)
Episode 20 : 7196  / 78087     , ended with 1000.0, mean reward 50.0    , (epsilon 0.3099594536067188)
Best mean reward updated to 50.0
Episode 21 : 6243  / 84330     , ended with 0.0  , mean reward 47.62   , (epsilon 0.2822507306709921)
Episode 22 : 4757  / 89087     , ended with 0.0  , mean reward 45.45   , (epsilon 0.26281234400197495)
Episode 23 : 4513  / 93600     , ended with 0.0  , mean reward 43.48   , (epsilon 0.24560995992174356)
Episode 24 : 4231  / 97831     , ended with 0.0  , mean reward 41.67   , (epsilon 0.23050654870154402)
Episode 25 : 5078  / 102909    , ended with 0.0  , mean reward 40.0    , (epsilon 0.2136007677906643)
Episode 26 : 2324  / 105233    , ended with 0.0  , mean reward 38.46   , (epsilon 0.2062828819517853)
Episode 27 : 1561  / 106794    , ended with 0.0  , mean reward 37.04   , (epsilon 0.20150884264906746)
Episode 28 : 3777  / 110571    , ended with 0.0  , mean reward 35.71   , (epsilon 0.1904096568120181)
Episode 29 : 2606  / 113177    , ended with 0.0  , mean reward 34.48   , (epsilon 0.18311008812905477)
Episode 30 : 5481  / 118658    , ended with 0.0  , mean reward 33.33   , (epsilon 0.16865782019804612)
Episode 31 : 4540  / 123198    , ended with 0.0  , mean reward 32.26   , (epsilon 0.1575544982532788)
Episode 32 : 5555  / 128753    , ended with 0.0  , mean reward 31.25   , (epsilon 0.1449582535080499)
Episode 33 : 4865  / 133618    , ended with 0.0  , mean reward 30.3    , (epsilon 0.1347566079003778)
Episode 34 : 5342  / 138960    , ended with 0.0  , mean reward 29.41   , (epsilon 0.12437978235407426)
Episode 35 : 5111  / 144071    , ended with 0.0  , mean reward 28.57   , (epsilon 0.1152004979614385)
Episode 36 : 3904  / 147975    , ended with 0.0  , mean reward 27.78   , (epsilon 0.10864803616113158)
Episode 37 : 4031  / 152006    , ended with 0.0  , mean reward 27.03   , (epsilon 0.10227325257727081)
Episode 38 : 5396  / 157402    , ended with 0.0  , mean reward 26.32   , (epsilon 0.09432135018659255)
Episode 39 : 2666  / 160068    , ended with 0.0  , mean reward 25.64   , (epsilon 0.0906238361993421)
Episode 40 : 1432  / 161500    , ended with 0.0  , mean reward 25.0    , (epsilon 0.08869797950238123)
Episode 41 : 1011  / 162511    , ended with 0.0  , mean reward 24.39   , (epsilon 0.08736301260190049)
Episode 42 : 1190  / 163701    , ended with 0.0  , mean reward 23.81   , (epsilon 0.08581740680544056)
Episode 43 : 4035  / 167736    , ended with 0.0  , mean reward 23.26   , (epsilon 0.08077733417153263)
Episode 44 : 5732  / 173468    , ended with 0.0  , mean reward 22.73   , (epsilon 0.0741222504820608)
